bar_pub_name,borough,building,address,zip,phone,latitude,longitude
DOMINICK'S BAR & RESTAURANT,Bronx,2335,ARTHUR AVENUE,10458,7187332807,40.854188025454,-73.888749295607
DOWNEY'S BAR & GRILL,Bronx,5790,MOSHOLU AVENUE,10471,7185484939,40.905379915681,-73.897631426006
EL CALDERO RESTAURANT SPORT BAR,Bronx,1267,JEROME AVENUE,10452,7184100012,40.83735070728,-73.920482615431
EL PASO DEL VAQUERO TAQUERIA & BAR,Bronx,374,EAST  204 STREET,10467,3472232677,40.871531235128,-73.87722915035
EL PORTON BAR & MEXICAN RESTAURANT,Bronx,576,SOUTHERN BOULEVARD,10455,7184503399,40.812469831941,-73.902908360435
EL TUNNEL RESTAURANT & TAPAS BAR,Bronx,2026,WEBSTER AVENUE,10457,9173457275,40.850923019168,-73.898995155248
EMERGENCY KITCHEN & BAR,Bronx,1372,JESUP AVENUE,10452,7182933593,40.840631154326,-73.921187045504
ESTRELLA BAR & RESTAURANT,Bronx,1470,JEROME AVENUE,10452,7182937246,40.841607852784,-73.916689860205
FANTASY BAR AND RESTAURANT,Bronx,23,EAST TREMONT AVENUE,10453,9175642040,40.85157625774,-73.908833403753
FELLA'S BAR,Bronx,522,CITY ISLAND AVENUE,10464,7188859898,40.852555855918,-73.789447103794
FEROZA'S ROTI BAR,Bronx,716,BURKE AVENUE,10467,7184059081,40.871414964881,-73.866490452719
FIESTA CAFE BAR,Bronx,4640,3 AVENUE,10458,7187332211,40.856413417701,-73.891001303829
FRESH WEY JUICE BAR,Bronx,1354,WHITE PLAINS ROAD,10462,7186843999,40.834919642763,-73.863036897257
GABI JUICE BAR,Bronx,16,WEST BURNSIDE AVENUE,10453,7186180730,40.853801592159,-73.908024234129
GAMEDAY SPORTS BAR,Bronx,5757,BROADWAY,10463,7185481782,40.883197968438,-73.901788451801
GLACKEN'S BAR,Bronx,135,EAST  149 STREET,10451,7185857082,40.818870144188,-73.928496577747
GLEN ROY BAR AND GRILL,Bronx,145,EAST  149 STREET,10451,7189939804,40.818746337462,-73.928027031652
GLITCH BAR AND GRILL,Bronx,441,EAST  187 STREET,10458,3478580609,40.858105472034,-73.892379476102
GUERRERO'S JUCE BAR III,Bronx,3819,EAST TREMONT AVENUE,10465,9148172044,40.824587191464,-73.820317190664
GUN POST LANES SNACK BAR,Bronx,1215,EAST GUN HILL ROAD,10469,7188810331,40.872819107014,-73.85208921574
HAWAII LOUNGE & TAPAS BAR,Bronx,400,EAST  180 STREET,10457,9175294443,40.852245062944,-73.897955707212
HOOK & REEL CAJUN SEAFOOD & BAR,Bronx,236,EAST  161 STREET,10451,7182930388,40.825959482454,-73.919686898428
HOOK & REEL CAJUN SEAFOOD & BAR,Bronx,65,METROPOLITAN OVAL,10462,9176223663,40.838188414209,-73.860576247025
HOOK & REEL CAJUN SEAFOOD AND BAR,Bronx,961,EAST  174 STREET,10460,2129010508,40.836646055356,-73.885591284463
HOWL AT THE MOON BAR & GRILL,Bronx,585,EAST  189 STREET,10458,7185617694,40.857600212645,-73.88643716989
HUNTS POINT JUICE BAR & DELI,Bronx,620,MANIDA STREET,10474,3479189442,40.812582405866,-73.887883451493
IGUANA BAR LOUNGE,Bronx,3304,WHITE PLAINS ROAD,10467,6462963691,40.873443997957,-73.867075755731
IVY JUICE BAR & DELI INC,Bronx,800,EAST  149 STREET,10455,9174719220,40.81268966085,-73.906517017047
JAMEX SPORTS BAR,Bronx,3447,BAYCHESTER AVENUE,10469,3479489119,40.880381420889,-73.838258110644
JOHN MULLIGAN'S FIRESIDE PUB,Bronx,4272,KATONAH AVENUE,10470,3473468001,40.89778438017,-73.867218605002
Juice Supply Juice Bar,Bronx,613,EAST FORDHAM ROAD,10458,7186841460,40.858303909142,-73.884729646245
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470,9292377958,40.900062984423,-73.867640883899
KELLY'S PUB,Bronx,23,EAST  233 STREET,10470,7183255253,40.895579348783,-73.876142832926
KENNEDY FRIED CHICKEN & SALAD BAR,Bronx,3413,JEROME AVENUE,10467,7186769700,40.881113695591,-73.883087914726
KHALLE BAR AND GRILL,Bronx,3638,BAILEY AVENUE,10463,3473266293,40.883519012726,-73.898525933316
LA CORONA BAR,Bronx,2428,HUGHES AVENUE,10458,3479725338,40.855689881418,-73.886440444252
LA FINCA BAR & GRILL,Bronx,960,EAST  165 STREET,10459,3472770837,40.823930164063,-73.894722120026
LA NUEVA ESTRELLA BAR & RESTAURANT,Bronx,390,EAST  204 STREET,10467,7186534111,40.871319682722,-73.877034289783
LA PARRANDA BAR RESTAURANT,Bronx,2712,WHITE PLAINS ROAD,10467,7186841119,40.865693182355,-73.867337161105
LAGRIMITAS BAR RESTAURANT,Bronx,34,WEST  183 STREET,10453,7185843333,40.858800216204,-73.905219203108
LAILEILEI JUICE & SNACK BAR,Bronx,832,WESTCHESTER AVENUE,10455,3472972460,40.819443497082,-73.902045488292
LAS CAMELIAS BAR & RESTAURANT,Bronx,1802,WESTCHESTER AVENUE,10472,7187941827,40.831920561212,-73.866147212835
LAST STOP BAR & GRILL,Bronx,4609,WHITE PLAINS ROAD,10470,3474274543,40.902340356147,-73.85130700211
LATINA'S KITCHEN & BAR,Bronx,182,WEST BURNSIDE AVENUE,10453,3478620121,40.854383985199,-73.915853221473
LEGENDARY BAR & GRILL,Bronx,3513,EAST TREMONT AVENUE,10465,7188220100,40.830865521991,-73.826385450912
LEVULOSA JUICE BAR AND CAFE,Bronx,13,WEST BURNSIDE AVENUE,10453,6464629196,40.853818037394,-73.907995292632
LOS MOCANOS JUICE BAR & GRILL,Bronx,609,EAST TREMONT AVENUE,10457,9292599255,40.846309211173,-73.893031158818
Last Call Bar and Grill,Bronx,2421,ARTHUR AVENUE,10458,9178317532,40.856025457575,-73.887170089976
MADE IN PUERTO RICO BAR & LOUNGE,Bronx,26,BRUCKNER BOULEVARD,10454,3472714902,40.807207663807,-73.928404398369
MARAVILLA'S BAR & GRILL,Bronx,254,SOUNDVIEW AVENUE,10473,7186187440,40.810756820716,-73.855634249473
MARIA BONITA BAKERY JUICE BAR,Bronx,42,WEST FORDHAM ROAD,10468,3479188619,40.862693139502,-73.903001058943
MARISCO CENTRO SEAFOOD RESTAURANT & BAR,Bronx,610,EXTERIOR STREET,10451,7186658686,40.821737103048,-73.930860054782
MCDERMOTT'S PUB,Bronx,2634,EAST TREMONT AVENUE,10461,7184924490,40.842948739491,-73.846257440927
MG 54 BAR AND LOUNGE,Bronx,1546,UNIVERSITY AVENUE,10452,7186180662,40.845882324493,-73.921903679961
MILLY'S CORNER RESTAURANT AND BAR,Bronx,1129,LONGWOOD AVENUE,10474,7188934900,40.81462698851,-73.893382131932
MIS ANTOJITOS AND NATURAL JUICE BAR,Bronx,1268,MORRISON AVENUE,10472,3475908673,40.831307503712,-73.875023471497
MOTT HAVEN BAR & GRILL,Bronx,2412,3 AVENUE,10454,7186652001,40.808633427586,-73.930422173136
MUG-Z'S SPORTS BAR,Bronx,2476,ARTHUR AVENUE,10458,9172995546,40.857221132493,-73.886126927921
Melanie's Roti & Bar,Bronx,1248,CASTLE HILL AVENUE,10462,9294650382,40.83325551667,-73.851342741367
Misto Bar and Grill,Bronx,2314,EASTCHESTER ROAD,10469,9143917063,40.859843737216,-73.84304050325
NAIA DELI GRILL JUICE AND SALAD BAR,Bronx,2115,WASHINGTON AVENUE,10457,9172957142,40.851880404854,-73.895339205538
OASIS RESTAURANT & BAR,Bronx,4653,WHITE PLAINS ROAD,10470,7187086800,40.902792741807,-73.850926147492
ORCHARD BEACH SNACK BAR SECTION #7,Bronx,1,ORCHARD BEACH ROAD,10464,6462294471,40.865153252788,-73.80283849787
ORCHARD BEACH SNACK BAR SECTION 10,Bronx,1,ORCHARD BEACH ROAD,10464,6462294471,40.865153252788,-73.80283849787
ORCHARD BEACH SNACK BAR SECTION 5,Bronx,1,ORCHARD BEACH ROAD,10464,6462294471,40.865153252788,-73.80283849787
PARRILLA LATINA SPORTS BAR,Bronx,614,MELROSE AVENUE,10455,7189935894,40.817610849158,-73.917056012909
PEPPER'S CARIBBEAN RESTAURANT AND BAR,Bronx,4564,WHITE PLAINS ROAD,10470,6466338538,40.901270912212,-73.852079915935
PINE BAR & GRILL,Bronx,1634,EASTCHESTER ROAD,10461,7183190900,40.84527746261,-73.84509543926
Q44 BAR & GRILL,Bronx,1161,CASTLE HILL AVENUE,10462,6463029015,40.831311673171,-73.850906240859
QUIET BAR RESTAURANT,Bronx,535,EAST TREMONT AVENUE,10457,7186846102,40.846616531801,-73.895922215714
RIGHT FIELD DECK BAR,Bronx,1,EAST  161 STREET,10451,9122843260,40.829028434834,-73.928496459645
ROSEMARY'S BAKERY AND JUICE BAR,Bronx,1926,CROSS BRONX EXPY,10472,3479726968,40.832639897168,-73.859431541044
ROY'S RESTAURNT & BAR,Bronx,880,EAST TREMONT AVENUE,10460,9174718937,40.842783543227,-73.885844527342
RULAY LOUNGE BAR & RESTAURANT,Bronx,2959,WEBSTER AVENUE,10458,9292659357,40.867612345474,-73.883053893875
SABOR LATINO BAR & GRILL,Bronx,2968,JEROME AVENUE,10468,7184844436,40.873056032834,-73.889502252301
SANTA FE GRILL & BAR,Bronx,6025,BROADWAY,10471,7185695095,40.891439279555,-73.897396177997
SERIE 69 BAR & RESTAURANT,Bronx,213-15,E 170TH ST,10456,7184508109,40.838470704505,-73.913101491799
SHILA BAR & WINE,Bronx,629,CRESCENT AVENUE,10458,3472702701,40.853848990065,-73.887278626573
SKYLINE BAR & LOUNGE,Bronx,1511,WILKINSON AVENUE,10461,6463417716,40.852781006593,-73.84265599364
SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,7185422900,40.807621919049,-73.871470249594
STADIUM PIZZA BAR RESTAURANT,Bronx,113115,EAST  157 STREET,,9176319444,0.0,0.0
STAN'S SPORTS BAR,Bronx,836,RIVER AVENUE,10451,7189935548,40.826891734326,-73.926449987063
STAND 334 BEER ROOM,Bronx,1,EAST  161 STREET,10451,9172843260,40.829028434834,-73.928496459645
Sabrosito Restaurant & Bar,Bronx,200,BAYCHESTER AVENUE,10475,5514825204,40.865905409786,-73.830429747919
TACOS MI MEXICO RESTAURANT & BAR INC,Bronx,1526,WESTCHESTER AVENUE,10472,2018243313,40.828594309736,-73.878851627356
THE BRONX BEER HALL,Bronx,2344,ARTHUR AVENUE,10458,3473960555,40.854240101806,-73.88867329616
THE FOOD COURT BAR,Bronx,1,EAST  161 STREET,10451,9172843260,40.829028434834,-73.928496459645
THE MILES COFFEE BAR,Bronx,4039,EAST TREMONT AVENUE,10465,9175132392,40.81952144418,-73.817505579585
TOMMY BAHAMAS MARLIN BAR,Bronx,1,EAST  161 STREET,10451,9172843260,40.829028434834,-73.928496459645
TRANQUILITY BAR & LOUNGE,Bronx,3511,BOSTON ROAD,10469,9142584444,40.877202523709,-73.845885024977
TRIPLE Z'S BAR & LOUNGE,Bronx,3304,WHITE PLAINS ROAD,10467,8455226702,40.873443997957,-73.867075755731
VAN NEST LANES SNACK BAR,Bronx,1756,BRONXDALE AVENUE,10462,7187922220,40.846091466152,-73.85910300955
VEGA ALTA SPORTS BAR,Bronx,880,GERARD AVENUE,10452,7185909436,40.827875967399,-73.924707227453
WHITE CROSS FISHING CLUB BAR & GRILL,Bronx,750,CLARENCE AVENUE,10465,7185977347,40.830418029296,-73.815748294021
ZYMI BAR & GRILL,Bronx,726,ASTOR AVENUE,10467,3473268787,40.859571262286,-73.86632994763
101 WILSON BAR,Brooklyn,101,WILSON AVENUE,11237,6502832056,40.701497896968,-73.927119024631
245 FEMME FONTAINE BAR,Brooklyn,245,SOUTH    1 STREET,11211,9176552413,40.712530852059,-73.957933536439
68 JAY STREET BAR,Brooklyn,68,JAY STREET,11201,7182608207,40.702755433401,-73.986680794315
A BAR,Brooklyn,2001,STILLWELL AVENUE,11223,3478200792,40.597701578467,-73.985437910738
A BAR,Brooklyn,597,MANHATTAN AVENUE,11222,6469427210,40.723062259853,-73.950393960016
ABBA BAR AND GRILL,Brooklyn,492,GRAND STREET,11211,3478449655,40.710906147963,-73.951488764128
ABURI SUSHI BAR,Brooklyn,769,GRAND STREET,11211,7183878815,40.711774845835,-73.942531702175
ABY'S BAR,Brooklyn,1541,MYRTLE AVENUE,11237,3479442568,40.699279133609,-73.913824584038
ALEGRIA BAR & RESTAURANT,Brooklyn,266,SUYDAM STREET,11237,7189152576,40.702288808017,-73.923544031307
ALOHA SUSHI BAR,Brooklyn,354,MYRTLE AVENUE,11205,3474957551,40.693209270476,-73.972225892421
ANDALUCIA BAR & LOUNGE,Brooklyn,1336,BUSHWICK AVENUE,11207,9173184044,40.685877611825,-73.911808358656
ANYWAY CAFE & BAR,Brooklyn,1602,GRAVESEND NECK ROAD,11229,7189345988,40.595053025776,-73.954623108485
ARIS SPORTS BAR RESTAURANT,Brooklyn,4514,3 AVENUE,11220,3476892538,40.650341357333,-74.011831158252
ART CAFE + BAR,Brooklyn,884,PACIFIC STREET,11238,7188572522,40.680320486956,-73.964706830362
BAGEL PUB,Brooklyn,313,36 STREET,11232,9292763266,40.655265945841,-74.006004316239
BAGEL PUB,Brooklyn,287,9 STREET,11215,9177545252,40.669590380394,-73.987148858168
BAGEL PUB 7TH AVE,Brooklyn,57,7 AVENUE,11217,9177545252,40.675829888705,-73.974511610981
BANGKOK BAR,Brooklyn,274,36 STREET,11232,6469546594,40.655880716657,-74.007053154613
"BARCLAYS 40, 40 CLUB BAR",Brooklyn,620,ATLANTIC AVENUE,11217,9176186310,40.683446896895,-73.975691312176
BARCLAYS LOWER SUITES TANDUAY BAR SOUTH CLUB LOUNGE,Brooklyn,620,ATLANTIC AVENUE,11217,9176186310,40.683446896895,-73.975691312176
BARCLAYS NORTH SUITE STOLI BAR,Brooklyn,620,ATLANTIC AVENUE,11217,9176186310,40.683446896895,-73.975691312176
BARCLAYS UPPER SUITE STOLI BAR AND STORAGE ROOM 5C29.03,Brooklyn,620,ATLANTIC AVENUE,11217,9176186310,40.683446896895,-73.975691312176
BAYA BAR,Brooklyn,64,LAFAYETTE AVENUE,11217,3474220062,40.687094632588,-73.975365458994
BAYA BAR,Brooklyn,9417,3 AVENUE,11209,9178982222,40.617759281802,-74.033372516581
BAYA BAR,Brooklyn,238,BAY RIDGE AVENUE,11220,9178382222,40.636115256077,-74.027310688025
BAYA BAR,Brooklyn,1609,AVENUE Z,11235,6466201507,40.588091678486,-73.953220103416
BAYA BAR MIDWOOD,Brooklyn,1301,AVENUE J,11230,9172328239,40.624996199823,-73.96311151986
BAYA BAR MILL BASIN,Brooklyn,6305,AVENUE N,11234,7182415969,40.619581144183,-73.916777134666
BEAN POST PUB,Brooklyn,7525,5 AVENUE,11209,7187459413,40.629224106483,-74.022732530073
BELLYFUL RESTAURANT AND BAR,Brooklyn,2102,UTICA AVENUE,11234,7182527070,40.620414326792,-73.927045803626
BESITO RESTUARANT & BAR,Brooklyn,50,5 AVENUE,11217,7182301703,40.681575224085,-73.976968329504
BESO RESTAURANT AND BAR,Brooklyn,370,LEWIS AVENUE,11233,3479152900,40.682923289868,-73.935049942802
BIA BAR & GRILL,Brooklyn,67,SOUTH    6 STREET,11249,7183841264,40.71120504067,-73.965938460077
BILT BAR,Brooklyn,583,VANDERBILT AVENUE,11238,3472953579,40.680296723054,-73.967901218163
BKLYN PRIME BAR & RESTAURANT,Brooklyn,4315,FARRAGUT ROAD,11203,3476275301,40.637074494409,-73.935047900419
BLACK HORSE PUB,Brooklyn,568,5 AVENUE,11215,7187881975,40.66505078047,-73.98974862543
BLACK RABBIT BAR,Brooklyn,91,GREENPOINT AVENUE,11222,7183491595,40.729995236992,-73.956403463645
BLEACHERS SPORTS BAR AND GRILL,Brooklyn,240,FLATBUSH AVENUE,11217,7188571111,40.680391770176,-73.974801897642
BLEND SALAD AND JUICE BAR,Brooklyn,1310,78 STREET,11228,7182325300,40.618274341488,-74.00873491395
BLUE FIN BAR & GRILL,Brooklyn,633,NOSTRAND AVENUE,11216,3473515275,40.675519872493,-73.949957186513
BOAT BAR,Brooklyn,175,SMITH STREET,11201,7182540607,40.685828845135,-73.991057889811
BONAO BAR AND GRILL,Brooklyn,123,JAMAICA AVENUE,11207,7183460285,40.678914428468,-73.895828023847
BOOTLEG BAR,Brooklyn,1438,MYRTLE AVENUE,11237,3477156307,40.698919261854,-73.917132121619
BRAIN FOOD DELI & SALAD BAR,Brooklyn,967,BEDFORD AVENUE,11205,9176456213,40.691257943535,-73.955473303817
BROOKLYN BARGE BAR,Brooklyn,7591,WEST ST,,9293377212,0.0,0.0
BROOKLYN HEIGHTS WINE BAR,Brooklyn,50,HENRY STREET,11201,7188555595,40.699486907764,-73.992037000081
BUCKLEY'S BAR & RESTAURANT,Brooklyn,2926,AVENUE S,11229,7189984222,40.605041557071,-73.94291563627
BUDDY'S BURRITO & TACO BAR,Brooklyn,260,COURT STREET,11231,7184888695,40.685148360927,-73.994562675802
BULL'S EYE SPORTS PUB,Brooklyn,2073,FLATBUSH AVENUE,11234,7186279408,40.619243296789,-73.933170624471
BULLEIR BOURBON BAR - BARCLAYS CENTER,Brooklyn,620,ATLANTIC AVENUE,11217,9174174384,40.683446896895,-73.975691312176
BURRITO BAR,Brooklyn,307311,FLATBUSH AVENUE,,7182308646,0.0,0.0
BUTTERMILK BAR,Brooklyn,577,5 AVENUE,11215,7187886297,40.664833957733,-73.989914468197
Bad Luck Bar,Brooklyn,492,NOSTRAND AVENUE,11216,8313459347,40.682077130651,-73.949930613876
Bagel Pub,Brooklyn,775,FRANKLIN AVENUE,11238,7187742243,40.672273055667,-73.957375023284
CANAL BAR,Brooklyn,270,3 AVENUE,11215,7182460011,40.677846505415,-73.985773658398
CARACAS AREPA BAR,Brooklyn,291,GRAND STREET,11211,7182186787,40.712986304004,-73.957446280647
CARIBBEAN & AMERICAN ENTERTAINMENT BAR LOUNGE & RESTAURANT,Brooklyn,1640,NOSTRAND AVENUE,11226,7182828342,40.646057026338,-73.949074882744
CHARM BAR,Brooklyn,448,DEAN STREET,11217,6462266232,40.681948352842,-73.976182205696
CHIKILA BAR,Brooklyn,231,KENT AVENUE,11249,3472766505,40.716724653948,-73.96554603272
CHILL BAR & HOOKAH LOUNGE,Brooklyn,7810,5 AVENUE,11209,7187485800,40.627077503684,-74.023632421963
CHOCOLATE ESPRESSO BAR,Brooklyn,800,FRANKLIN AVENUE,11238,3477039999,40.671029846615,-73.957848061045
CHOCOLATTE ESPRESSO BAR,Brooklyn,792,EASTERN PARKWAY,11213,7187733770,40.669362197373,-73.941735678325
CONSTANTINE RESTAURANT AND BAR,Brooklyn,457,39 STREET,11232,9173328878,40.651862471994,-74.004890420093
CRAFT BEER BAR,Brooklyn,234,STARR STREET,11237,7185522330,40.705513358783,-73.922714370758
Cocoa Bean Juice and Salad Bar,Brooklyn,1510,NOSTRAND AVENUE,11226,9148434241,40.649312491988,-73.949425551826
Corona Bar,Brooklyn,620,ATLANTIC AVENUE,11217,9176186310,40.683446896895,-73.975691312176
D' CARIBE BAR & GRILL,Brooklyn,1344,UTICA AVENUE,11203,9176482552,40.639436956954,-73.929078735477
D-GARDEN CARIBBEAN BAR & GRILL,Brooklyn,4617,AVENUE D,11203,9293498757,40.641909609185,-73.932978480118
DAIGO HAND ROLL BAR (DEKALB MARKET),Brooklyn,445,GOLD ST,11201,9175471157,40.690826232689,-73.98345224546
DAIGO SUSHI ROLL BAR,Brooklyn,527,CARROLL STREET,11215,9175471157,40.676391611184,-73.984515763018
DAIGO SUSHI ROLL BAR,Brooklyn,315,4 AVENUE,11215,9175471157,40.674193174283,-73.98550045627
DAILY DOSE JUICE BAR,Brooklyn,276B,12 STREET,11215,6463212458,40.667603285962,-73.988309956085
DENNY'S PUB,Brooklyn,106,BEVERLY ROAD,11218,7184352156,40.642931856285,-73.978869881609
DESY'S CLAM BAR RESTAURANT CORP.,Brooklyn,672,GRAND STREET,11211,3475990267,40.711490763621,-73.945341866351
DIM SUM BAR,Brooklyn,167,GRAND STREET,11249,7183888988,40.714631887068,-73.961600782745
DOC WINE BAR,Brooklyn,83,NORTH    7 STREET,11249,7189631925,40.719640756955,-73.960620246144
DON PATRON BAR & GRILL,Brooklyn,1217,CHURCH AVENUE,11218,3473053155,40.647428088068,-73.968201776904
DROMEDARY BAR,Brooklyn,266,IRVING AVENUE,11237,3477154255,40.699744383392,-73.915684906894
DUSK TIL DAWN BAR & LOUNGE,Brooklyn,372,KOSCIUSZKO STREET,11221,9176504160,40.69201074858,-73.939159138238
Davry Kosher Sports Bar,Brooklyn,722,KINGS HIGHWAY,11223,7185134742,40.606217071627,-73.965325976671
Drink Sea Bar & Grill,Brooklyn,3029,STILLWELL AVENUE,11224,3477284781,40.574551384379,-73.981004597151
ECUA POLLOS BAR RESTAURANT,Brooklyn,1262,MYRTLE AVENUE,11221,7185735276,40.697907541641,-73.926816425147
EL MEKKAH BAR & GRILL,Brooklyn,277,WYCKOFF AVENUE,11237,9175183475,40.700876350908,-73.913505138735
EL MONUMENTO RESTAURANT BAR & LOUNGE,Brooklyn,1185,BROADWAY,11221,7184503380,40.692514400408,-73.927348851405
EL NOPAL RESTAURANT & JUICE BAR,Brooklyn,631,5 AVENUE,11215,7185412732,40.663247599022,-73.991424979508
EL PATRON BAR AND GRILL,Brooklyn,748,LIBERTY AVENUE,11208,3476276525,40.676524128958,-73.882077981558
EL TORO BAR,Brooklyn,7507,NEW UTRECHT AVENUE,11214,9292999772,40.615612233383,-73.999978388707
ENDSWELL BAR & BISTRO,Brooklyn,773,FULTON STREET,11217,9292763150,40.6860402825,-73.973757707267
ENERGY JUICE BAR,Brooklyn,906,KINGS HIGHWAY,11223,7189754480,40.606817606445,-73.96348174362
ESSENCE BAR & RESTAURANT,Brooklyn,1662,ATLANTIC AVENUE,11213,7184673300,40.677678245798,-73.935444437491
EXTRA BAR CAFE,Brooklyn,153,AVENUE U,11223,7182660107,40.596383013354,-73.978636210838
Espiga Restaurant & Bar Corp,Brooklyn,4602,AVENUE N,11234,9294423177,40.618706534182,-73.930599299623
FAN FRIED RICE BAR,Brooklyn,525,DEKALB AVENUE,11205,9292902197,40.690860096506,-73.955848590693
FAN FRIED RICE BAR,Brooklyn,740,DRIGGS AVENUE,11211,9292349996,40.712600431762,-73.960638850181
FARO SPORT BAR & LOUNGE,Brooklyn,3247,FULTON STREET,11208,3472064490,40.682802362702,-73.875176671137
FEENEY'S PUB,Brooklyn,6201,5 AVENUE,11220,9177547597,40.638247136432,-74.017431839698
FORDE'S SPORTS BAR,Brooklyn,85,DUMONT AVENUE,11212,3476409585,40.66300349881,-73.916629035213
FOREVER INK BAR,Brooklyn,1051,FLATBUSH AVENUE,11226,7182844029,40.645259178385,-73.958022957884
FOURTH AVENUE PUB,Brooklyn,76,4 AVENUE,11217,7186432273,40.68224548037,-73.97978398887
FREDDY'S BAR,Brooklyn,627,5 AVENUE,11215,7188680131,40.663346403437,-73.991324041608
FRESH KILLS BAR,Brooklyn,161,GRAND STREET,11249,7185997888,40.714689574224,-73.961741432415
FRESH REMEDY HEALTH & JUICE BAR,Brooklyn,354,ROGERS AVENUE,11225,7182822431,40.664701565002,-73.953778941247
FRUTANGO JUICE BAR,Brooklyn,2230B,CHURCH AVENUE,11226,7328881355,40.650408367604,-73.957969252899
FUEL JUICE BAR,Brooklyn,1183,FULTON STREET,11216,3477871834,40.680813566106,-73.954178748537
FULL CIRCLE BAR,Brooklyn,318,GRAND STREET,11211,5127810900,40.712667598609,-73.956613233836
FULTON ALE HOUSE,Brooklyn,1446,FULTON STREET,11216,7184503038,40.68000694417,-73.942732241742
FUNNY BBQ BAR,Brooklyn,818,54 STREET,11220,7186336868,40.638495364319,-74.005433508117
Fiona's Bar,Brooklyn,562,FLATBUSH AVENUE,11225,9164286681,40.660046229496,-73.960615915131
